"iso_2","iso_3","country","year","tobacco_excise_type","tobacco_excise","oecd_avg_excise"
"JP","JPN","Japan",2020,"roll_tob_excise_1kg_usd","112.3199706",139.545409869706
"CL","CHL","Chile",2020,"roll_tob_excise_1kg_usd","0",139.545409869706
"CO","COL","Colombia",2020,"roll_tob_excise_1kg_usd","58.82657742",139.545409869706
"KR","KOR","Korea",2020,"roll_tob_excise_1kg_usd","88.54568855",139.545409869706
"MX","MEX","Mexico",2020,"roll_tob_excise_1kg_usd","",139.545409869706
"AU","AUS","Australia",2020,"roll_tob_excise_1kg_usd","897.0625",139.545409869706
"NL","NLD","Netherlands",2020,"roll_tob_excise_1kg_usd","175.247191",139.545409869706
"PT","PRT","Portugal",2020,"roll_tob_excise_1kg_usd","91.01123596",139.545409869706
"ES","ESP","Spain",2020,"roll_tob_excise_1kg_usd","26.40449438",139.545409869706
"CH","CHE","Switzerland",2020,"roll_tob_excise_1kg_usd","38.38383838",139.545409869706
"AT","AUT","Austria",2020,"roll_tob_excise_1kg_usd","0",139.545409869706
"BE","BEL","Belgium",2020,"roll_tob_excise_1kg_usd","47.58426966",139.545409869706
"CZ","CZE","Czech Republic",2020,"roll_tob_excise_1kg_usd","107.2830353",139.545409869706
"DK","DNK","Denmark",2020,"roll_tob_excise_1kg_usd","202.5337331",139.545409869706
"IS","ISL","Iceland",2020,"roll_tob_excise_1kg_usd","234.075524",139.545409869706
"EE","EST","Estonia",2020,"roll_tob_excise_1kg_usd","100.7078652",139.545409869706
"FR","FRA","France",2020,"roll_tob_excise_1kg_usd","85.61797753",139.545409869706
"DE","DEU","Germany",2020,"roll_tob_excise_1kg_usd","54.48314607",139.545409869706
"GR","GRC","Greece",2020,"roll_tob_excise_1kg_usd","191.011236",139.545409869706
"HU","HUN","Hungary",2020,"roll_tob_excise_1kg_usd","69.15296222",139.545409869706
"IE","IRL","Ireland",2020,"roll_tob_excise_1kg_usd","426.7752809",139.545409869706
"IT","ITA","Italy",2020,"roll_tob_excise_1kg_usd","0",139.545409869706
"LT","LTU","Lithuania",2020,"roll_tob_excise_1kg_usd","77.07865169",139.545409869706
"LU","LUX","Luxembourg",2020,"roll_tob_excise_1kg_usd","18.53932584",139.545409869706
"PL","POL","Poland",2020,"roll_tob_excise_1kg_usd","40.546875",139.545409869706
"SK","SVK","Slovak Republic",2020,"roll_tob_excise_1kg_usd","86.17977528",139.545409869706
"SI","SVN","Slovenia",2020,"roll_tob_excise_1kg_usd","46.62",139.545409869706
"TR","TUR","Turkey",2020,"roll_tob_excise_1kg_usd","85.55555556",139.545409869706
"CA","CAN","Canada",2020,"roll_tob_excise_1kg_usd","114.556391",139.545409869706
"GB","GBR","United Kingdom",2020,"roll_tob_excise_1kg_usd","300.8333333",139.545409869706
"NO","NOR","Norway",2020,"roll_tob_excise_1kg_usd","304.5454545",139.545409869706
"FI","FIN","Finland",2020,"roll_tob_excise_1kg_usd","52.24719101",139.545409869706
"LV","LVA","Latvia",2020,"roll_tob_excise_1kg_usd","84.26966292",139.545409869706
"SE","SWE","Sweden",2020,"roll_tob_excise_1kg_usd","206.8710359",139.545409869706
"IL","ISR","Israel",2020,"roll_tob_excise_1kg_usd","319.6741573",139.545409869706
"US","USA","United States",2020,"roll_tob_excise_1kg_usd","",139.545409869706
"NZ","NZL","New Zealand",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"JP","JPN","Japan",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"CL","CHL","Chile",2020,"cigar_excise_1k_pct_rsp","52.6",13.9810714285714
"CO","COL","Colombia",2020,"cigar_excise_1k_pct_rsp","10",13.9810714285714
"KR","KOR","Korea",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"MX","MEX","Mexico",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"AU","AUS","Australia",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"NL","NLD","Netherlands",2020,"cigar_excise_1k_pct_rsp","8",13.9810714285714
"PT","PRT","Portugal",2020,"cigar_excise_1k_pct_rsp","25",13.9810714285714
"ES","ESP","Spain",2020,"cigar_excise_1k_pct_rsp","15.8",13.9810714285714
"CH","CHE","Switzerland",2020,"cigar_excise_1k_pct_rsp","1",13.9810714285714
"AT","AUT","Austria",2020,"cigar_excise_1k_pct_rsp","13",13.9810714285714
"BE","BEL","Belgium",2020,"cigar_excise_1k_pct_rsp","10",13.9810714285714
"CZ","CZE","Czech Republic",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"DK","DNK","Denmark",2020,"cigar_excise_1k_pct_rsp","10",13.9810714285714
"IS","ISL","Iceland",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"EE","EST","Estonia",2020,"cigar_excise_1k_pct_rsp","10",13.9810714285714
"FR","FRA","France",2020,"cigar_excise_1k_pct_rsp","32.3",13.9810714285714
"DE","DEU","Germany",2020,"cigar_excise_1k_pct_rsp","1.47",13.9810714285714
"GR","GRC","Greece",2020,"cigar_excise_1k_pct_rsp","35",13.9810714285714
"HU","HUN","Hungary",2020,"cigar_excise_1k_pct_rsp","14",13.9810714285714
"IE","IRL","Ireland",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"IT","ITA","Italy",2020,"cigar_excise_1k_pct_rsp","23",13.9810714285714
"LT","LTU","Lithuania",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"LU","LUX","Luxembourg",2020,"cigar_excise_1k_pct_rsp","10",13.9810714285714
"PL","POL","Poland",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"SK","SVK","Slovak Republic",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"SI","SVN","Slovenia",2020,"cigar_excise_1k_pct_rsp","6.3",13.9810714285714
"TR","TUR","Turkey",2020,"cigar_excise_1k_pct_rsp","80",13.9810714285714
"CA","CAN","Canada",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"GB","GBR","United Kingdom",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"NO","NOR","Norway",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"FI","FIN","Finland",2020,"cigar_excise_1k_pct_rsp","34",13.9810714285714
"LV","LVA","Latvia",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"SE","SWE","Sweden",2020,"cigar_excise_1k_pct_rsp","0",13.9810714285714
"IL","ISR","Israel",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"US","USA","United States",2020,"cigar_excise_1k_pct_rsp","",13.9810714285714
"NZ","NZL","New Zealand",2020,"cigarette_excise_1k_pct_rsp","0",24.9994285714286
"JP","JPN","Japan",2020,"cigarette_excise_1k_pct_rsp","0",24.9994285714286
"CL","CHL","Chile",2020,"cigarette_excise_1k_pct_rsp","30",24.9994285714286
"CO","COL","Colombia",2020,"cigarette_excise_1k_pct_rsp","10",24.9994285714286
"KR","KOR","Korea",2020,"cigarette_excise_1k_pct_rsp","64.76",24.9994285714286
"MX","MEX","Mexico",2020,"cigarette_excise_1k_pct_rsp","39.07",24.9994285714286
"AU","AUS","Australia",2020,"cigarette_excise_1k_pct_rsp","0",24.9994285714286
"NL","NLD","Netherlands",2020,"cigarette_excise_1k_pct_rsp","5",24.9994285714286
"PT","PRT","Portugal",2020,"cigarette_excise_1k_pct_rsp","15",24.9994285714286
"ES","ESP","Spain",2020,"cigarette_excise_1k_pct_rsp","51",24.9994285714286
"CH","CHE","Switzerland",2020,"cigarette_excise_1k_pct_rsp","25",24.9994285714286
"AT","AUT","Austria",2020,"cigarette_excise_1k_pct_rsp","37.5",24.9994285714286
"BE","BEL","Belgium",2020,"cigarette_excise_1k_pct_rsp","40.04",24.9994285714286
"CZ","CZE","Czech Republic",2020,"cigarette_excise_1k_pct_rsp","30",24.9994285714286
"DK","DNK","Denmark",2020,"cigarette_excise_1k_pct_rsp","1",24.9994285714286
"IS","ISL","Iceland",2020,"cigarette_excise_1k_pct_rsp","0",24.9994285714286
"EE","EST","Estonia",2020,"cigarette_excise_1k_pct_rsp","30",24.9994285714286
"FR","FRA","France",2020,"cigarette_excise_1k_pct_rsp","52.7",24.9994285714286
"DE","DEU","Germany",2020,"cigarette_excise_1k_pct_rsp","21.69",24.9994285714286
"GR","GRC","Greece",2020,"cigarette_excise_1k_pct_rsp","26",24.9994285714286
"HU","HUN","Hungary",2020,"cigarette_excise_1k_pct_rsp","23",24.9994285714286
"IE","IRL","Ireland",2020,"cigarette_excise_1k_pct_rsp","9.04",24.9994285714286
"IT","ITA","Italy",2020,"cigarette_excise_1k_pct_rsp","59.1",24.9994285714286
"LT","LTU","Lithuania",2020,"cigarette_excise_1k_pct_rsp","25",24.9994285714286
"LU","LUX","Luxembourg",2020,"cigarette_excise_1k_pct_rsp","46.65",24.9994285714286
"PL","POL","Poland",2020,"cigarette_excise_1k_pct_rsp","32.05",24.9994285714286
"SK","SVK","Slovak Republic",2020,"cigarette_excise_1k_pct_rsp","23",24.9994285714286
"SI","SVN","Slovenia",2020,"cigarette_excise_1k_pct_rsp","21.88",24.9994285714286
"TR","TUR","Turkey",2020,"cigarette_excise_1k_pct_rsp","67",24.9994285714286
"CA","CAN","Canada",2020,"cigarette_excise_1k_pct_rsp","0",24.9994285714286
"GB","GBR","United Kingdom",2020,"cigarette_excise_1k_pct_rsp","16.5",24.9994285714286
"NO","NOR","Norway",2020,"cigarette_excise_1k_pct_rsp","0",24.9994285714286
"FI","FIN","Finland",2020,"cigarette_excise_1k_pct_rsp","52",24.9994285714286
"LV","LVA","Latvia",2020,"cigarette_excise_1k_pct_rsp","20",24.9994285714286
"SE","SWE","Sweden",2020,"cigarette_excise_1k_pct_rsp","1",24.9994285714286
"IL","ISR","Israel",2020,"cigarette_excise_1k_pct_rsp","",24.9994285714286
"US","USA","United States",2020,"cigarette_excise_1k_pct_rsp","",24.9994285714286
"NZ","NZL","New Zealand",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"JP","JPN","Japan",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"CL","CHL","Chile",2020,"roll_tob_excise_1kg_pct_rsp","59.7",17.276875
"CO","COL","Colombia",2020,"roll_tob_excise_1kg_pct_rsp","10",17.276875
"KR","KOR","Korea",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"MX","MEX","Mexico",2020,"roll_tob_excise_1kg_pct_rsp","",17.276875
"AU","AUS","Australia",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"NL","NLD","Netherlands",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"PT","PRT","Portugal",2020,"roll_tob_excise_1kg_pct_rsp","15",17.276875
"ES","ESP","Spain",2020,"roll_tob_excise_1kg_pct_rsp","41.5",17.276875
"CH","CHE","Switzerland",2020,"roll_tob_excise_1kg_pct_rsp","25",17.276875
"AT","AUT","Austria",2020,"roll_tob_excise_1kg_pct_rsp","56",17.276875
"BE","BEL","Belgium",2020,"roll_tob_excise_1kg_pct_rsp","31.5",17.276875
"CZ","CZE","Czech Republic",2020,"roll_tob_excise_1kg_pct_rsp","",17.276875
"DK","DNK","Denmark",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"IS","ISL","Iceland",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"EE","EST","Estonia",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"FR","FRA","France",2020,"roll_tob_excise_1kg_pct_rsp","46.7",17.276875
"DE","DEU","Germany",2020,"roll_tob_excise_1kg_pct_rsp","14.76",17.276875
"GR","GRC","Greece",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"HU","HUN","Hungary",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"IE","IRL","Ireland",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"IT","ITA","Italy",2020,"roll_tob_excise_1kg_pct_rsp","58.5",17.276875
"LT","LTU","Lithuania",2020,"roll_tob_excise_1kg_pct_rsp","",17.276875
"LU","LUX","Luxembourg",2020,"roll_tob_excise_1kg_pct_rsp","33.15",17.276875
"PL","POL","Poland",2020,"roll_tob_excise_1kg_pct_rsp","32.05",17.276875
"SK","SVK","Slovak Republic",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"SI","SVN","Slovenia",2020,"roll_tob_excise_1kg_pct_rsp","37",17.276875
"TR","TUR","Turkey",2020,"roll_tob_excise_1kg_pct_rsp","40",17.276875
"CA","CAN","Canada",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"GB","GBR","United Kingdom",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"NO","NOR","Norway",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"FI","FIN","Finland",2020,"roll_tob_excise_1kg_pct_rsp","52",17.276875
"LV","LVA","Latvia",2020,"roll_tob_excise_1kg_pct_rsp","",17.276875
"SE","SWE","Sweden",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"IL","ISR","Israel",2020,"roll_tob_excise_1kg_pct_rsp","0",17.276875
"US","USA","United States",2020,"roll_tob_excise_1kg_pct_rsp","",17.276875
