"iso_2","iso_3","country","year","tobacco_excise_type","tobacco_excise","oecd_avg_excise"
"NZ","NZL","New Zealand",2020,"cigar_excise_1k_usd","",63.131658153
"JP","JPN","Japan",2020,"cigar_excise_1k_usd","112.3199706",63.131658153
"CL","CHL","Chile",2020,"cigar_excise_1k_usd","0",63.131658153
"CO","COL","Colombia",2020,"cigar_excise_1k_usd","37.03331169",63.131658153
"KR","KOR","Korea",2020,"cigar_excise_1k_usd","",63.131658153
"MX","MEX","Mexico",2020,"cigar_excise_1k_usd","",63.131658153
"AU","AUS","Australia",2020,"cigar_excise_1k_usd","",63.131658153
"NL","NLD","Netherlands",2020,"cigar_excise_1k_usd","0",63.131658153
"PT","PRT","Portugal",2020,"cigar_excise_1k_usd","0",63.131658153
"ES","ESP","Spain",2020,"cigar_excise_1k_usd","0",63.131658153
"CH","CHE","Switzerland",2020,"cigar_excise_1k_usd","5.656565657",63.131658153
"AT","AUT","Austria",2020,"cigar_excise_1k_usd","0",63.131658153
"BE","BEL","Belgium",2020,"cigar_excise_1k_usd","0",63.131658153
"CZ","CZE","Czech Republic",2020,"cigar_excise_1k_usd","81.98866114",63.131658153
"DK","DNK","Denmark",2020,"cigar_excise_1k_usd","74.96251874",63.131658153
"IS","ISL","Iceland",2020,"cigar_excise_1k_usd","",63.131658153
"EE","EST","Estonia",2020,"cigar_excise_1k_usd","169.6629213",63.131658153
"FR","FRA","France",2020,"cigar_excise_1k_usd","39.66292135",63.131658153
"DE","DEU","Germany",2020,"cigar_excise_1k_usd","15.73033708",63.131658153
"GR","GRC","Greece",2020,"cigar_excise_1k_usd","0",63.131658153
"HU","HUN","Hungary",2020,"cigar_excise_1k_usd","0",63.131658153
"IE","IRL","Ireland",2020,"cigar_excise_1k_usd","",63.131658153
"IT","ITA","Italy",2020,"cigar_excise_1k_usd","0",63.131658153
"LT","LTU","Lithuania",2020,"cigar_excise_1k_usd","47.19101124",63.131658153
"LU","LUX","Luxembourg",2020,"cigar_excise_1k_usd","0",63.131658153
"PL","POL","Poland",2020,"cigar_excise_1k_usd","112.7604167",63.131658153
"SK","SVK","Slovak Republic",2020,"cigar_excise_1k_usd","86.17977528",63.131658153
"SI","SVN","Slovenia",2020,"cigar_excise_1k_usd","0",63.131658153
"TR","TUR","Turkey",2020,"cigar_excise_1k_usd","88.32451499",63.131658153
"CA","CAN","Canada",2020,"cigar_excise_1k_usd","",63.131658153
"GB","GBR","United Kingdom",2020,"cigar_excise_1k_usd","365.0769231",63.131658153
"NO","NOR","Norway",2020,"cigar_excise_1k_usd","304.5454545",63.131658153
"FI","FIN","Finland",2020,"cigar_excise_1k_usd","33.70786517",63.131658153
"LV","LVA","Latvia",2020,"cigar_excise_1k_usd","106.9662921",63.131658153
"SE","SWE","Sweden",2020,"cigar_excise_1k_usd","149.0486258",63.131658153
"IL","ISR","Israel",2020,"cigar_excise_1k_usd","0",63.131658153
"US","USA","United States",2020,"cigar_excise_1k_usd","",63.131658153
"NZ","NZL","New Zealand",2020,"cigarette_excise_1k_usd","",131.1449150975
"JP","JPN","Japan",2020,"cigarette_excise_1k_usd","121.493441",131.1449150975
"CL","CHL","Chile",2020,"cigarette_excise_1k_usd","65.90268886",131.1449150975
"CO","COL","Colombia",2020,"cigarette_excise_1k_usd","37.03331169",131.1449150975
"CR","CRI","Costa Rica",2022,"cigarette_excise_1k_usd","37.03331169",131.1449150975
"KR","KOR","Korea",2020,"cigarette_excise_1k_usd","125.027885",131.1449150975
"MX","MEX","Mexico",2020,"cigarette_excise_1k_usd","25.66978193",131.1449150975
"AU","AUS","Australia",2020,"cigarette_excise_1k_usd","650.3680556",131.1449150975
"NL","NLD","Netherlands",2020,"cigarette_excise_1k_usd","246.3483146",131.1449150975
"PT","PRT","Portugal",2020,"cigarette_excise_1k_usd","108",131.1449150975
"ES","ESP","Spain",2020,"cigarette_excise_1k_usd","27.75280899",131.1449150975
"CH","CHE","Switzerland",2020,"cigarette_excise_1k_usd","119.5151515",131.1449150975
"AT","AUT","Austria",2020,"cigarette_excise_1k_usd","65.16853933",131.1449150975
"BE","BEL","Belgium",2020,"cigarette_excise_1k_usd","72.58426966",131.1449150975
"CZ","CZE","Czech Republic",2020,"cigarette_excise_1k_usd","70.21369385",131.1449150975
"DK","DNK","Denmark",2020,"cigarette_excise_1k_usd","260.5547226",131.1449150975
"IS","ISL","Iceland",2020,"cigarette_excise_1k_usd","210.4029035",131.1449150975
"EE","EST","Estonia",2020,"cigarette_excise_1k_usd","92.07865169",131.1449150975
"FR","FRA","France",2020,"cigarette_excise_1k_usd","69.66292135",131.1449150975
"DE","DEU","Germany",2020,"cigarette_excise_1k_usd","110.3370787",131.1449150975
"GR","GRC","Greece",2020,"cigarette_excise_1k_usd","92.69662921",131.1449150975
"HU","HUN","Hungary",2020,"cigarette_excise_1k_usd","70.52914058",131.1449150975
"IE","IRL","Ireland",2020,"cigarette_excise_1k_usd","388.8089888",131.1449150975
"IT","ITA","Italy",2020,"cigarette_excise_1k_usd","21.7491573",131.1449150975
"LT","LTU","Lithuania",2020,"cigarette_excise_1k_usd","69.94382022",131.1449150975
"LU","LUX","Luxembourg",2020,"cigarette_excise_1k_usd","21.2247191",131.1449150975
"PL","POL","Poland",2020,"cigarette_excise_1k_usd","59.40104167",131.1449150975
"SK","SVK","Slovak Republic",2020,"cigarette_excise_1k_usd","72.02247191",131.1449150975
"SI","SVN","Slovenia",2020,"cigarette_excise_1k_usd","82.74157303",131.1449150975
"TR","TUR","Turkey",2020,"cigarette_excise_1k_usd","85.55908289",131.1449150975
"CA","CAN","Canada",2020,"cigarette_excise_1k_usd","91.64661654",131.1449150975
"GB","GBR","United Kingdom",2020,"cigarette_excise_1k_usd","292.6794872",131.1449150975
"NO","NOR","Norway",2020,"cigarette_excise_1k_usd","304.5454545",131.1449150975
"FI","FIN","Finland",2020,"cigarette_excise_1k_usd","78.37078652",131.1449150975
"LV","LVA","Latvia",2020,"cigarette_excise_1k_usd","88.42696629",131.1449150975
"SE","SWE","Sweden",2020,"cigarette_excise_1k_usd","169.1331924",131.1449150975
"IL","ISR","Israel",2020,"cigarette_excise_1k_usd","112.6235955",131.1449150975
"US","USA","United States",2020,"cigarette_excise_1k_usd","141",131.1449150975
"NZ","NZL","New Zealand",2020,"roll_tob_excise_1kg_usd","",139.545409869706
