ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,property_tax_str,property_taxes_deductible_str,property_tax_collections_str,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax_str,asset_tax_str,capital_duties_str,financial_transaction_tax_str
DK,DNK,Denmark,2014,0.245,0,60,0.8269230769,0.479318672,0.8134064429,0,0,0,-0.01,0,0,0,5.072,0.47564,1.16303,1.2758532479,8,0,0.42,0,0.42,25,5879.0763873497,0.5830851295,0.5,0.666227195,0,1,1,0,0,0,1,1,1,0.27,0.25,0.25,73,0.5,0.5,Tax on Real Property,Yes,0.7%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,No,No
EE,EST,Estonia,2014,0.21,100,100,1,1,1,1,1,0,0,0,0,0,0,0.21,0.150274,1.0554370735,0,0,0.21,0,0,20,25581.7765656457,0.6947937029,1,0.1636446058,0,0,0,0,0,0,1,0,1,0,0,0.1,51,0,0,Land Tax,No,0.1%,No,None,No,No,No,No
ES,ESP,Spain,2014,0.3,0,18,0.6950018566,0.2913855302,0.2789584488,0.5,0,1,0.31,0,3,0,0,0.52,11.728847,1.1200672829,0,0,0.27,0,0.27,21,0,0.3997314249,0.5,0.4683377975,1,1,1,0,1,0,1,1,1,0.21,0.21,0.2475,85,0.25,1,Tax on Real Property,Yes,0.5%,Net Wealth Tax,Inheritance and Gift Tax,Real Estate Transfer Tax,No,Yes,Yes
FI,FIN,Finland,2014,0.2,0,10,0.8269230769,0.5189655172,0.7378887028,0,0,0,0.25,0,0,0,0,0.56617293,2.535029,1.2672563453,0,0,0.32,0,0.272,24,8589.4728364748,0.5622086514,0.5,0.2690802881,0,1,1,1,0,1,1,1,1,0.2,0,0.2,75,0.375,1,Tax on Real Property,Yes,0.4%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,No,Yes
FR,FRA,France,2014,0.38,1,50,0.8802756038,0.5479539106,0.8698652539,0.5,0,1,0.425,0,3,10.7,1.105,0.469345,15.274647,1.2054111166,8,0,0.38,0,0.44001,20,93551.0876400815,0.4830419686,0.5,1.1177631424,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.5,1,Tax on Real Property,Yes,1.1%,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes
GB,GBR,United Kingdom,2014,0.21,1,100,0.7588235294,0,0.8269230769,0,0,1,0.185,0,1,0,0,0.47,4.274984,1.3695633282,0,0,0.28,0,0.3055625,20,102850.559900547,0.4306918317,0.5,1.7399655962,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.375,0,Tax on Real Property,Yes,1.7%,No,Inheritance and Gift Tax,Stamp Duty on Transfer of Real Property,Bank Tax,No,Yes
GR,GRC,Greece,2014,0.26,0,5,0.7378887028,0.479318672,0.7378887028,1,0,0,0.07,0,0,0,1.208,0.42,5.346351,1.1887774113,4,0,0.15,0,0.1,23,6677.5495945415,0.3714796091,0.5,0.6949964319,0,1,1,1,1,0,1,0,1,0.25,0.15,0.2,55,0.25,0.5,Tax on Real Property,Yes,1.1%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,Yes,No
HU,HUN,Hungary,2014,0.19,0,50,0.8162003834,0.2789584488,0.7378887028,0.5,0,1,0.2925,0,3,0,0.014,0.345,0,1,0,0.263,0.16,0,0.16,27,42328.198651231,0.5187195374,0.5,0.205339775,0,1,1,1,0,0,1,1,0,0,0,0,73,0.5,0.5,Tax on Real Property,Yes,0.3%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,No
IE,IRL,Ireland,2014,0.125,3,100,0.7870751652,0.479318672,0.646263719,0.5,0,0,0.235,0,1,0,0.009,0.45,0.761985,1.4664554551,7,0,0.33,0,0.51,23,78844.2561518391,0.4398628371,0.5,0.4296911732,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0,Tax on Real Property,Yes,0.2%,No,Inheritance and Gift Tax,Stamp Duty on Transfer of Real Property,No,No,Yes
IL,ISR,Israel,2014,0.265,0,100,0.8698652539,0.5479539106,0.7870751652,0.5,0,0,0,0,0,0,3.409,0.5,6.307592,1.8266966667,0,0,0.27,1,0.32,18,18611.874917961,0.6394821074,0.5,1.2116500027,0,0,1,0,0,0,1,1,0,0.3,0.25,0.25,53,0.25,0,Tax on Sale of Real Property (c),Yes,1.1%,No,None,Real Estate Transfer Tax (e),No,No,No
IS,ISL,Iceland,2014,0.2,0,10,0.86,0.6023536187,0.8122693501,0,0,0,0.24,0,1,0,3.06,0.4622,1.387967,1.2778299181,0,10.357,0.2,0,0.2,25.5,7006.4970525499,0.4306721447,0,0.7142415066,1,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.5,0,Tax on Real Property,No,1.1%,No,Inheritance Tax,No,Bank Tax,No,No
IT,ITA,Italy,2014,0.3129275,0,80,0.760252585,0.4626575421,0.9651162791,1,1,0,-0.02,0,1,0,5.379,0.442611,10.005698,1.1760485509,3,0,0.2,0,0.2,22,35990.6737367146,0.374973056,0,0.5979968237,0.5,1,1,0,1,1,0.95,0.95,1,0.2,0.2,0.225,95,0.5,1,Tax on Real Property,No,0.6%,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,No,Yes,Yes
