"iso_2","iso_3","country","year","alcohol_type","excise_liter_usd","oecd_avg_liter_usd"
"LU","LUX","Luxembourg",2020,"wine_still","0",1.12817785043367
"PL","POL","Poland",2020,"wine_still","0.453125",1.12817785043367
"SK","SVK","Slovak Republic",2020,"wine_still","0",1.12817785043367
"SI","SVN","Slovenia",2020,"wine_still","0",1.12817785043367
"TR","TUR","Turkey",2020,"wine_still","1.772680776",1.12817785043367
"CA","CAN","Canada",2020,"wine_still","0.4909774436",1.12817785043367
"GB","GBR","United Kingdom",2020,"wine_still","3.700641026",1.12817785043367
"NO","NOR","Norway",2020,"wine_still","6.968181818",1.12817785043367
"FI","FIN","Finland",2020,"wine_still","4.460674157",1.12817785043367
"LV","LVA","Latvia",2020,"wine_still","1.134831461",1.12817785043367
"SE","SWE","Sweden",2020,"wine_still","",1.12817785043367
"IL","ISR","Israel",2020,"wine_still","0",1.12817785043367
"US","USA","United States",2020,"wine_still","0.37",1.12817785043367
