"iso_2","iso_3","country","year","fuel_type","total_tax_pct","oecd_avg_total_tax_pct"
"CA","CAN","Canada",2019,"diesel_total_tax_pct_price","26.97478992",46.4224073318919
"BE","BEL","Belgium",2019,"diesel_total_tax_pct_price","56.79912509",46.4224073318919
"CH","CHE","Switzerland",2019,"diesel_total_tax_pct_price","52.00607113",46.4224073318919
"DE","DEU","Germany",2019,"diesel_total_tax_pct_price","52.32687028",46.4224073318919
"DK","DNK","Denmark",2019,"diesel_total_tax_pct_price","51.14061468",46.4224073318919
"FR","FRA","France",2019,"diesel_total_tax_pct_price","58.91082582",46.4224073318919
"IT","ITA","Italy",2019,"diesel_total_tax_pct_price","59.76255813",46.4224073318919
"IL","ISR","Israel",2019,"diesel_total_tax_pct_price","58.52017937",46.4224073318919
"IS","ISL","Iceland",2019,"diesel_total_tax_pct_price","55.81383773",46.4224073318919
"LU","LUX","Luxembourg",2019,"diesel_total_tax_pct_price","46.14337568",46.4224073318919
"JP","JPN","Japan",2019,"diesel_total_tax_pct_price","34",46.4224073318919
"KR","KOR","Korea",2019,"diesel_total_tax_pct_price","48.53459851",46.4224073318919
"NL","NLD","Netherlands",2019,"diesel_total_tax_pct_price","53.7688972",46.4224073318919
"NO","NOR","Norway",2019,"diesel_total_tax_pct_price","54.28952635",46.4224073318919
"SI","SVN","Slovenia",2019,"diesel_total_tax_pct_price","55.01618123",46.4224073318919
"SK","SVK","Slovak Republic",2019,"diesel_total_tax_pct_price","46.80327869",46.4224073318919
"SE","SWE","Sweden",2019,"diesel_total_tax_pct_price","49.70136793",46.4224073318919
"CL","CHL","Chile",2019,"diesel_total_tax_pct_price","28.12481528",46.4224073318919
"NZ","NZL","New Zealand",2019,"diesel_total_tax_pct_price","15.97419841",46.4224073318919
"AT","AUT","Austria",2019,"diesel_total_tax_pct_price","50.62969786",46.4224073318919
"CO","COL","Colombia",2019,"diesel_total_tax_pct_price","14.35002404",46.4224073318919
"CZ","CZE","Czech Republic",2019,"diesel_total_tax_pct_price","51.91755311",46.4224073318919
"EE","EST","Estonia",2019,"diesel_total_tax_pct_price","61.25",46.4224073318919
"ES","ESP","Spain",2019,"diesel_total_tax_pct_price","48.53909465",46.4224073318919
"FI","FIN","Finland",2019,"diesel_total_tax_pct_price","57.04676373",46.4224073318919
"GB","GBR","United Kingdom",2019,"diesel_total_tax_pct_price","60.74333241",46.4224073318919
"HU","HUN","Hungary",2019,"diesel_total_tax_pct_price","49.51776636",46.4224073318919
"IE","IRL","Ireland",2019,"diesel_total_tax_pct_price","54.85455232",46.4224073318919
"LT","LTU","Lithuania",2019,"diesel_total_tax_pct_price","47.24137931",46.4224073318919
"LV","LVA","Latvia",2019,"diesel_total_tax_pct_price","50.85020243",46.4224073318919
"PL","POL","Poland",2019,"diesel_total_tax_pct_price","47.77908464",46.4224073318919
"PT","PRT","Portugal",2019,"diesel_total_tax_pct_price","54.33620085",46.4224073318919
"AU","AUS","Australia",2019,"diesel_total_tax_pct_price","37.52960437",46.4224073318919
"TR","TUR","Turkey",2019,"diesel_total_tax_pct_price","43.31941382",46.4224073318919
"MX","MEX","Mexico",2019,"diesel_total_tax_pct_price","13.80489088",46.4224073318919
"GR","GRC","Greece",2019,"diesel_total_tax_pct_price","49.20975542",46.4224073318919
"US","USA","United States",2019,"diesel_total_tax_pct_price","20.09864365",46.4224073318919
"CA","CAN","Canada",2019,"household_fuel_total_tax_pct_price","9.033021013",32.8024097875161
"BE","BEL","Belgium",2019,"household_fuel_total_tax_pct_price","20.1126769",32.8024097875161
"CH","CHE","Switzerland",2019,"household_fuel_total_tax_pct_price","35.77839678",32.8024097875161
"DE","DEU","Germany",2019,"household_fuel_total_tax_pct_price","25.03731501",32.8024097875161
"DK","DNK","Denmark",2019,"household_fuel_total_tax_pct_price","49.69072165",32.8024097875161
"FR","FRA","France",2019,"household_fuel_total_tax_pct_price","33.44086022",32.8024097875161
"IT","ITA","Italy",2019,"household_fuel_total_tax_pct_price","48.87572515",32.8024097875161
"IL","ISR","Israel",2019,"household_fuel_total_tax_pct_price","58.55044648",32.8024097875161
"IS","ISL","Iceland",2019,"household_fuel_total_tax_pct_price","",32.8024097875161
"LU","LUX","Luxembourg",2019,"household_fuel_total_tax_pct_price","13.86981948",32.8024097875161
"JP","JPN","Japan",2019,"household_fuel_total_tax_pct_price","12.12887938",32.8024097875161
"KR","KOR","Korea",2019,"household_fuel_total_tax_pct_price","16.62475995",32.8024097875161
"NL","NLD","Netherlands",2019,"household_fuel_total_tax_pct_price","71.89805778",32.8024097875161
"NO","NOR","Norway",2019,"household_fuel_total_tax_pct_price","45.06265664",32.8024097875161
"SI","SVN","Slovenia",2019,"household_fuel_total_tax_pct_price","41.63424125",32.8024097875161
