"iso_2","iso_3","country","year","fuel_type","total_tax_pct","oecd_avg_total_tax_pct"
"SK","SVK","Slovak Republic",2019,"household_fuel_total_tax_pct_price","",32.8024097875161
"SE","SWE","Sweden",2019,"household_fuel_total_tax_pct_price","57.10385497",32.8024097875161
"CL","CHL","Chile",2019,"household_fuel_total_tax_pct_price","15.96638655",32.8024097875161
"NZ","NZL","New Zealand",2019,"household_fuel_total_tax_pct_price","",32.8024097875161
"AT","AUT","Austria",2019,"household_fuel_total_tax_pct_price","30.42929293",32.8024097875161
"CO","COL","Colombia",2019,"household_fuel_total_tax_pct_price","",32.8024097875161
"CZ","CZE","Czech Republic",2019,"household_fuel_total_tax_pct_price","29.99379973",32.8024097875161
"EE","EST","Estonia",2019,"household_fuel_total_tax_pct_price","23.23369565",32.8024097875161
"ES","ESP","Spain",2019,"household_fuel_total_tax_pct_price","29.94018968",32.8024097875161
"FI","FIN","Finland",2019,"household_fuel_total_tax_pct_price","44.7412422",32.8024097875161
"GB","GBR","United Kingdom",2019,"household_fuel_total_tax_pct_price","23.63945578",32.8024097875161
"HU","HUN","Hungary",2019,"household_fuel_total_tax_pct_price","50.02951292",32.8024097875161
"IE","IRL","Ireland",2019,"household_fuel_total_tax_pct_price","26.1816883",32.8024097875161
"LT","LTU","Lithuania",2019,"household_fuel_total_tax_pct_price","21.50737475",32.8024097875161
"LV","LVA","Latvia",2019,"household_fuel_total_tax_pct_price","24.44986558",32.8024097875161
"PL","POL","Poland",2019,"household_fuel_total_tax_pct_price","25.58556473",32.8024097875161
"PT","PRT","Portugal",2019,"household_fuel_total_tax_pct_price","44.59884444",32.8024097875161
"AU","AUS","Australia",2019,"household_fuel_total_tax_pct_price","",32.8024097875161
"TR","TUR","Turkey",2019,"household_fuel_total_tax_pct_price","35.75113842",32.8024097875161
"MX","MEX","Mexico",2019,"household_fuel_total_tax_pct_price","",32.8024097875161
"GR","GRC","Greece",2019,"household_fuel_total_tax_pct_price","47.75816596",32.8024097875161
"US","USA","United States",2019,"household_fuel_total_tax_pct_price","4.22705314",32.8024097875161
"CA","CAN","Canada",2019,"unleaded_total_tax_pct_price","31.97126667",53.2350560124324
"BE","BEL","Belgium",2019,"unleaded_total_tax_pct_price","58.08983969",53.2350560124324
"CH","CHE","Switzerland",2019,"unleaded_total_tax_pct_price","54.52421733",53.2350560124324
"DE","DEU","Germany",2019,"unleaded_total_tax_pct_price","61.29438822",53.2350560124324
"DK","DNK","Denmark",2019,"unleaded_total_tax_pct_price","59.31743486",53.2350560124324
"FR","FRA","France",2019,"unleaded_total_tax_pct_price","62.51965562",53.2350560124324
"IT","ITA","Italy",2019,"unleaded_total_tax_pct_price","64.30243381",53.2350560124324
"IL","ISR","Israel",2019,"unleaded_total_tax_pct_price","64.26208238",53.2350560124324
"IS","ISL","Iceland",2019,"unleaded_total_tax_pct_price","59.68231644",53.2350560124324
"LU","LUX","Luxembourg",2019,"unleaded_total_tax_pct_price","51.44767279",53.2350560124324
"JP","JPN","Japan",2019,"unleaded_total_tax_pct_price","46.99341394",53.2350560124324
"KR","KOR","Korea",2019,"unleaded_total_tax_pct_price","50.84379007",53.2350560124324
"NL","NLD","Netherlands",2019,"unleaded_total_tax_pct_price","64.92733139",53.2350560124324
"NO","NOR","Norway",2019,"unleaded_total_tax_pct_price","60.65760354",53.2350560124324
"SI","SVN","Slovenia",2019,"unleaded_total_tax_pct_price","60.13990582",53.2350560124324
"SK","SVK","Slovak Republic",2019,"unleaded_total_tax_pct_price","55.85544373",53.2350560124324
"SE","SWE","Sweden",2019,"unleaded_total_tax_pct_price","61.76068648",53.2350560124324
"CL","CHL","Chile",2019,"unleaded_total_tax_pct_price","48.90694585",53.2350560124324
"NZ","NZL","New Zealand",2019,"unleaded_total_tax_pct_price","46.38285665",53.2350560124324
"AT","AUT","Austria",2019,"unleaded_total_tax_pct_price","56.04795235",53.2350560124324
"CO","COL","Colombia",2019,"unleaded_total_tax_pct_price","21.97957078",53.2350560124324
"CZ","CZE","Czech Republic",2019,"unleaded_total_tax_pct_price","57.92723291",53.2350560124324
"EE","EST","Estonia",2019,"unleaded_total_tax_pct_price","63.94611727",53.2350560124324
"ES","ESP","Spain",2019,"unleaded_total_tax_pct_price","53.80377199",53.2350560124324
"FI","FIN","Finland",2019,"unleaded_total_tax_pct_price","65.37011492",53.2350560124324
"GB","GBR","United Kingdom",2019,"unleaded_total_tax_pct_price","63.07195823",53.2350560124324
"HU","HUN","Hungary",2019,"unleaded_total_tax_pct_price","53.3435529",53.2350560124324
"IE","IRL","Ireland",2019,"unleaded_total_tax_pct_price","62.3",53.2350560124324
"LT","LTU","Lithuania",2019,"unleaded_total_tax_pct_price","55.11091779",53.2350560124324
"LV","LVA","Latvia",2019,"unleaded_total_tax_pct_price","56.96565034",53.2350560124324
"PL","POL","Poland",2019,"unleaded_total_tax_pct_price","52.14651663",53.2350560124324
"PT","PRT","Portugal",2019,"unleaded_total_tax_pct_price","61.79494832",53.2350560124324
"AU","AUS","Australia",2019,"unleaded_total_tax_pct_price","35.92706728",53.2350560124324
"TR","TUR","Turkey",2019,"unleaded_total_tax_pct_price","50.01194179",53.2350560124324
"MX","MEX","Mexico",2019,"unleaded_total_tax_pct_price","13.79310345",53.2350560124324
"GR","GRC","Greece",2019,"unleaded_total_tax_pct_price","63.7145665",53.2350560124324
"US","USA","United States",2019,"unleaded_total_tax_pct_price","18.56280373",53.2350560124324
